Model,MAE,MSE,RMSE,R2,Training_Time_Seconds,Prediction_Time_Seconds
Gradient Boosting,0.3854774328526696,0.24709205576198692,0.4970835500818619,0.9040657329993735,3.5781338214874268,0.007561922073364258
Linear Regression,0.3948148565728351,0.25201919773711584,0.5020151369601477,0.902152754646693,0.0747218132019043,0.004271745681762695
Hist Gradient Boosting,0.3903061500031099,0.2539114522310757,0.5038962713010245,0.9014180808940429,0.4533541202545166,0.010365962982177734
AdaBoost,0.4060001823754417,0.2698896329830967,0.5195090307040838,0.895214502014416,11.768519639968872,0.14823150634765625
Random Forest,0.4019445598006644,0.27251163569352155,0.5220264702996598,0.8941965012238905,12.143962144851685,0.2941913604736328
SVR,0.4040008459373878,0.2817425527941852,0.5307942659771159,0.8906125686564722,18.89076328277588,7.717090606689453
Extra Trees,0.4157703488372093,0.2954461378737542,0.5435495726001026,0.8852921086933421,5.406960725784302,0.11751079559326172
KNN,0.5310275272899858,0.4669214862024544,0.6833165344131915,0.8187162659376491,0.011947393417358398,4.524215221405029
Decision Tree,0.48131229235880396,0.5361295681063123,0.7322086916353235,0.7918460106901012,0.5128235816955566,0.008336305618286133
