Model,Training_Time_Seconds,Prediction_Time_Seconds
KNN,0.011947393417358398,4.524215221405029
Linear Regression,0.0747218132019043,0.004271745681762695
Hist Gradient Boosting,0.4533541202545166,0.010365962982177734
Decision Tree,0.5128235816955566,0.008336305618286133
Gradient Boosting,3.5781338214874268,0.007561922073364258
Extra Trees,5.406960725784302,0.11751079559326172
AdaBoost,11.768519639968872,0.14823150634765625
Random Forest,12.143962144851685,0.2941913604736328
SVR,18.89076328277588,7.717090606689453
